WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((74461.692 412417.89,74457.388 412413.19,74462.149 412408.83,74466.448 412413.564,74461.692 412417.89))","0580100000240421",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240421,"1994",Pand in gebruik,,,,"0",pand.546ead99-7801-4eb4-9605-e0228bda9851
"POLYGON ((73617.884 411930.375,73621.399 411937.564,73612.064 411941.141,73610.759 411941.641,73607.792 411933.921,73617.884 411930.375))","0580100000240423",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240423,"1900",Pand in gebruik,woonfunctie,"159","159","1",pand.8e85ef69-4106-4055-943f-3451b94ebec2
"POLYGON ((73617.231 411880.765,73621.831 411893.273,73620.37 411893.8,73614.407 411895.895,73610.081 411882.392,73611.347 411881.954,73606.529 411868.7,73611.991 411866.636,73617.231 411880.765))","0580100000240424",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240424,"1900",Pand in gebruik,"winkelfunctie,woonfunctie","355","355","1",pand.3a622e2d-88ec-45aa-900b-3ba236e0575c
"POLYGON ((73613.156 412040.183,73619.588 412037.029,73622.312 412042.654,73615.882 412045.807,73613.156 412040.183))","0580100000240425",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240425,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.d10a9d92-e8ca-4697-8e13-3ab38aa113f7
"POLYGON ((73607.181 412116.015,73612.313 412112.905,73615.894 412118.822,73612.25 412121.031,73610.763 412121.932,73607.181 412116.015))","0580100000240426",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240426,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.83111acf-6c5d-4e9b-a190-aa5eed7ebf7f
"POLYGON ((73607.623 411777.071,73612.682 411774.57,73614.042 411777.322,73606.78 411780.913,73605.419 411778.16,73607.623 411777.071))","0580100000240427",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240427,"2006",Pand in gebruik,overige gebruiksfunctie,"64","64","1",pand.84deaeac-a92a-4f5d-8915-f785b5ca1f5b
"POLYGON ((73202.299 412193.72,73201.857 412192.986,73207.439 412189.628,73208.932 412192.109,73214.167 412188.96,73216.988 412193.65,73208.129 412198.956,73206.329 412195.964,73204.36 412197.148,73202.885 412194.695,73202.299 412193.72))","0580100000240428",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240428,"1990",Pand in gebruik,woonfunctie,"127","127","1",pand.35b1fac9-98b7-46e6-8ae7-d13febc027b2
"POLYGON ((73213.63 412410.934,73201.493 412421.977,73197.776 412417.891,73205.746 412410.639,73194.115 412397.856,73198.281 412394.065,73213.63 412410.934))","0580100000240429",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240429,"1985",Pand in gebruik,woonfunctie,"267","267","1",pand.9378b40f-2602-4983-abdc-62ad95d797ec
"POLYGON ((73087.626 412237.775,73072.829 412251.558,73065.821 412244.034,73080.617 412230.251,73087.626 412237.775))","0580100000240430",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240430,"2007",Pand in gebruik,industriefunctie,"208","208","1",pand.7916471f-d73c-4e37-a63a-05018d5db5bc
"POLYGON ((74173.571 412005.47,74175.49 412007.8,74170.988 412011.508,74169.099 412009.219,74173.571 412005.47))","0580100000240443",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240443,"1972",Pand in gebruik,overige gebruiksfunctie,"16","16","1",pand.be736dd9-694d-4338-ac3d-462a5c903a30
"POLYGON ((74133.92 412567.63,74141.06 412566.52,74150.55 412565.01,74158.365 412614.561,74158.39 412614.72,74123.53 412620.26,74115.64 412570.53,74133.92 412567.63))","0580100000240444",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240444,"1991",Pand in gebruik,industriefunctie,"2626","2626","1",pand.cf41418f-3892-4a99-99df-d3fd3d044033
