WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((4.22229413174807 51.6947368855535,4.22223297872402 51.6946940276546,4.22230283738887 51.6946555292131,4.22236391025316 51.694698691914,4.22229413174807 51.6947368855535))","0580100000240421",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240421,"1994",Pand in gebruik,,,,"0",pand.546ead99-7801-4eb4-9605-e0228bda9851
"POLYGON ((4.21020572036196 51.6902336069938,4.21025486529627 51.6902987250189,4.21011904755761 51.6903295147597,4.21010006071537 51.6903338185771,4.21005896405018 51.6902640080609,4.21020572036196 51.6902336069938))","0580100000240423",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240423,"1900",Pand in gebruik,woonfunctie,"159","159","1",pand.8e85ef69-4106-4055-943f-3451b94ebec2
"POLYGON ((4.21020787783521 51.6897876691844,4.21027146732299 51.6899007464993,4.21025021866875 51.6899052703208,4.21016350635911 51.6899232314436,4.21010411169141 51.689801251871,4.21012251988971 51.6897974995754,4.21005595319324 51.6896776862265,4.21013541361686 51.6896599309672,4.21020787783521 51.6897876691844))","0580100000240424",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240424,"1900",Pand in gebruik,"winkelfunctie,woonfunctie","355","355","1",pand.3a622e2d-88ec-45aa-900b-3ba236e0575c
"POLYGON ((4.21011167782963 51.691219759522,4.21020542200409 51.6911923494184,4.21024349579173 51.6912432968961,4.21014978068812 51.6912706983335,4.21011167782963 51.691219759522))","0580100000240425",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240425,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.d10a9d92-e8ca-4697-8e13-3ab38aa113f7
"POLYGON ((4.2100075449823 51.6919003898616,4.21008248207814 51.6918731863351,4.21013288042081 51.6919268825919,4.21007967079068 51.691946205171,4.21005795772604 51.6919540862957,4.2100075449823 51.6919003898616))","0580100000240426",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240426,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.83111acf-6c5d-4e9b-a190-aa5eed7ebf7f
"POLYGON ((4.21009319799172 51.6888543793532,4.21016693205833 51.6888326381963,4.2101859531645 51.6888575679441,4.21008011046619 51.6888887847255,4.2100610751801 51.6888638458283,4.21009319799172 51.6888543793532))","0580100000240427",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240427,"2006",Pand in gebruik,overige gebruiksfunctie,"64","64","1",pand.84deaeac-a92a-4f5d-8915-f785b5ca1f5b
"POLYGON ((4.20413461059538 51.6925397248495,4.20412839162168 51.692533063872,4.20420989873185 51.6925037010919,4.20423090499667 51.6925262157587,4.20430734516094 51.6924986804973,4.20434703575822 51.6925412412473,4.20421768410495 51.6925876320389,4.20419235857472 51.6925604802018,4.20416360776935 51.6925708331284,4.20414285522363 51.6925485727132,4.20413461059538 51.6925397248495))","0580100000240428",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240428,"1990",Pand in gebruik,woonfunctie,"127","127","1",pand.35b1fac9-98b7-46e6-8ae7-d13febc027b2
"POLYGON ((4.20424741203339 51.6944934686075,4.20406930284631 51.6945909384638,4.20401651165556 51.6945536748369,4.20413347071702 51.6944896658556,4.20396827974832 51.6943730867229,4.2040294153419 51.6943396258674,4.20424741203339 51.6944934686075))","0580100000240429",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240429,"1985",Pand in gebruik,woonfunctie,"267","267","1",pand.9378b40f-2602-4983-abdc-62ad95d797ec
"POLYGON ((4.21822335444249 51.6909889618496,4.21825056201478 51.6910101784761,4.21818460212732 51.691042852396,4.21815781884356 51.6910220085506,4.21822335444249 51.6909889618496))","0580100000240443",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240443,"1972",Pand in gebruik,overige gebruiksfunctie,"16","16","1",pand.be736dd9-694d-4338-ac3d-462a5c903a30
"POLYGON ((4.21751937169545 51.696035354009,4.21762288522428 51.6960264096169,4.21776047632401 51.6960142096772,4.21786198095568 51.696460651457,4.21786230555649 51.6964620839949,4.21735688291502 51.6965068375455,4.21725434016435 51.6960587758432,4.21751937169545 51.696035354009))","0580100000240444",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000240444,"1991",Pand in gebruik,industriefunctie,"2626","2626","1",pand.cf41418f-3892-4a99-99df-d3fd3d044033
